Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Austenitic,A (Resistant),A (Resistant),S31600,20,0.9,5.2,28.1
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,0.6,2.4,21.5
Austenitic,A (Resistant),A (Resistant),S31600,21,0.8,1.9,27.6
Austenitic,A (Resistant),A (Resistant),S31600,21,2.9,9.5,74.6
Austenitic,0.05,2,S31600,106,0.7,2,25.7
Austenitic,0.069,2.7,S31600,110,1.6,8.1,45.5
Austenitic,0.023,9,S31600,116,3.5,3.7,87.6
Austenitic,0.406,16,S31600,122,0.6,9.9,21.9
Austenitic,0.05,2,S31600,128,3.4,3.7,85.2
Austenitic,0.0076,0.3,S31600,130,1.5,3.5,42.5
Austenitic,0.102,4,S31600,106,0.9,6.4,29.5
Austenitic,0.56,22,S31600,116,2.9,9.6,75.7
Austenitic,0.102,4,S31600,128,2.7,9.8,70.3
Austenitic,0.04 max ,1.5 max ,S31600,93-110,3.6,7.1,90.2
Austenitic,0.08,3.3,S31600,93-110,3.1,7.5,78.8
Austenitic,0.0075,0.3,S31600,Boiling,3.3,5.6,84.3
Austenitic,,,S31600, Boiling,1.5,7.6,42.6
Austenitic,0.04,1.5,S31600,104,1.1,8.6,34.2
Austenitic,.08-0.5 ,20-Mar,S31600,106,3.1,4.9,80
Austenitic,4.57,180,S31600,Boiling,3.3,6.2,84.5
Austenitic,0.08,3,S31600,104,4,5.4,99.2
Austenitic,A (Resistant),A (Resistant),S31600,20,1.9,5.6,53
Austenitic,A (Resistant),A (Resistant),S31600,50,1.8,8.9,49.8
Austenitic,A (Resistant),A (Resistant),S31600,90,3.2,3.6,82.1
Austenitic,0.0076,0.3,S31700,106,1.7,2.1,47.3
Austenitic,0.069,2.7,S31700,110,3.8,4.6,94.5
Austenitic,0.102,4,S31700,116,3.5,2.1,88.7
Nickel,0.1,4,N02200,Room,2,5,54.3
Austenitic,0.025,1,S31700,122,3.1,9,80.1
Austenitic,0.025,1,S31700,128,3.1,6.2,80.4
Austenitic,0.01,0.4,S31700,130,0.9,8.6,28.2
Austenitic,0.03 max ,1 max ,S31700,104,3.7,1.7,92.2
Austenitic,.05-0.3 ,11-Feb,S31700,106,2.3,9,60.4
Austenitic,0.05,2,S31700,104,3.4,6,86.1
Austenitic,A (Resistant),A (Resistant),S32100,20,1.6,0.3,45.6
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,3.6,6.3,91.6
Austenitic,A (Resistant),A (Resistant),S32100,20,1.9,9.5,51.1
Austenitic,B (Good),B (Good),S32100,Boiling,0.5,0.8,20.9
Austenitic,A (Resistant),A (Resistant),S32100,20,3.7,5.8,92.4
Austenitic,B (Good),B (Good),S32100,Boiling,0.8,9.2,27.3
Austenitic,A (Resistant),A (Resistant),S32100,20,1.6,0.1,45.5
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,3.8,6.3,96
Austenitic,D (Poor),D (Poor),S32100,104,3.8,4.7,96
Austenitic,A (Resistant),A (Resistant),S32100,20,2.5,3.5,65.9
Austenitic,A (Resistant),A (Resistant),S32100,50,2.7,6.3,70.5
Austenitic,A (Resistant),A (Resistant),S32100,90,2.1,0.5,55.9
Austenitic,A (Resistant),A (Resistant),S34700,20,1.5,7.5,43.5
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,1.7,0,46.3
Austenitic,A (Resistant),A (Resistant),S34700,20,2.9,3.1,73.8
Austenitic,B (Good),B (Good),S34700,Boiling,3.1,5,80.2
Austenitic,A (Resistant),A (Resistant),S34700,20,3.3,3.8,83.3
Austenitic,B (Good),B (Good),S34700,Boiling,3.3,3.1,83.2
Austenitic,A (Resistant),A (Resistant),S34700,20,0.8,8.3,27.3
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,2.2,9.3,59.6
Austenitic,D (Poor),D (Poor),S34700,106,0.7,8.7,24.6
Austenitic,D (Poor),D (Poor),S34700,104,2.4,5.2,64
Austenitic,A (Resistant),A (Resistant),S34700,20,2,8.8,55.3
Austenitic,A (Resistant),A (Resistant),S34700,50,3.6,9.2,91
Austenitic,A (Resistant),A (Resistant),S34700,90,1.7,4.1,48.1
Austenitic,0.005,0.2,S24100,Boiling,0.9,2.8,29.4
Austenitic,0.19,7.5,N08020,150,1,1,31.4
Austenitic,0.75,30,N08020,150,3.2,4.8,80.9
Austenitic,0.04,1.58,N08020,150,2.7,9.5,69.5
Austenitic,4.9,193,S30403,150,0.9,5.6,28.1
Austenitic,A (Resistant),A (Resistant),S30403,20,0.8,6.7,26.7
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,3,1.1,76.1
Austenitic,A (Resistant),A (Resistant),S30403,20,0.8,1.4,25.8
Austenitic,B (Good),B (Good),S30403,Boiling,3.4,4.6,85.7
Austenitic,A (Resistant),A (Resistant),S30403,20,3,9.5,76.5
Austenitic,B (Good),B (Good),S30403,Boiling,0.8,3.6,26.5
Austenitic,A (Resistant),A (Resistant),S30403,20,0.8,8.8,26.8
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,4,1.2,98.9
Austenitic,24.2,953,S30403,150,1.8,6.2,49.9
Austenitic,8.2,323,S30403,150,1.8,6,49.7
Austenitic,A (Resistant),A (Resistant),S30403,20,3.3,8.6,85
Austenitic,A (Resistant),A (Resistant),S30403,50,3.8,0,95.8
Austenitic,A (Resistant),A (Resistant),S30403,90,4,1.9,98.9
Austenitic,A (Resistant),A (Resistant),S30453,20,3.1,2.2,80.3
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,1.8,9.5,50.1
Austenitic,A (Resistant),A (Resistant),S30453,20,0.8,1.5,26.7
Austenitic,B (Good),B (Good),S30453,Boiling,3.2,0.4,82.2
Austenitic,A (Resistant),A (Resistant),S30453,20,2.5,5.3,64.7
Austenitic,B (Good),B (Good),S30453,Boiling,2,5.3,53.9
Austenitic,A (Resistant),A (Resistant),S30453,20,3.7,8.4,92.5
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,0.9,9.5,28.9
Austenitic,A (Resistant),A (Resistant),S30453,20,2.2,5.4,59.4
Austenitic,A (Resistant),A (Resistant),S30453,50,0.5,9.3,20.9
Austenitic,A (Resistant),A (Resistant),S30453,90,2.1,7.3,57.5
Austenitic,A (Resistant),A (Resistant),S31620,20,0.7,2.6,24.5
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,0.9,9.3,29.5
Austenitic,A (Resistant),A (Resistant),S31620,20,0.9,6.7,29.4
Austenitic,B (Good),B (Good),S31620,Boiling,2.8,4.1,71.9
Austenitic,A (Resistant),A (Resistant),S31620,20,3.1,6.8,79.7
Austenitic,B (Good),B (Good),S31620,Boiling,2.5,4,66.7
Austenitic,A (Resistant),A (Resistant),S31620,20,3.9,1.1,97
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,1.8,7.2,50
Austenitic,A (Resistant),A (Resistant),S31620,20,1.5,8.2,42.9
Austenitic,A (Resistant),A (Resistant),S31620,50,3.5,7.3,89.5
Austenitic,A (Resistant),A (Resistant),S31620,90,1.3,2.3,37.9
Austenitic,0.004,0.16,S31603,150,3.9,9.6,97.1
Austenitic,0.01 max ,0.1 max ,S31603,Boiling,0.5,0.3,21
Austenitic,A (Resistant),A (Resistant),S31603,20,3.9,3.3,97.6
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,0.7,2.6,23.5
Austenitic,A (Resistant),A (Resistant),S31603,20,3.6,0.5,91.3
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,2.3,4.1,62.2
Austenitic,A (Resistant),A (Resistant),S31603,20,4,6.2,99.4
Austenitic,B (Good),B (Good),S31603,Boiling,0.8,8.8,25.9
Austenitic,A (Resistant),A (Resistant),S31603,20,2.4,9.9,64.3
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,3.9,8.1,97.5
Austenitic,0.015-0.018 ,0.58-0.72 ,S31603,Boiling,2.3,4.7,61.8
Austenitic,0.37,14.6,S31603,150,2.7,7.2,70.4
Austenitic,0.005,0.2,S31603,150,2.9,8.4,75.7
Austenitic,A (Resistant),A (Resistant),S31603,20,2.1,4.7,56.4
Austenitic,A (Resistant),A (Resistant),S31603,50,2.7,7.9,70.2
Austenitic,A (Resistant),A (Resistant),S31603,90,2.5,4.8,66.7
Austenitic,A (Resistant),A (Resistant),S31653,20,3.7,3.9,92.1
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,0.7,5.3,23.6
Austenitic,A (Resistant),A (Resistant),S31653,20,1.5,6.8,42.5
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,3.8,7.3,96
Austenitic,A (Resistant),A (Resistant),S31653,20,3.6,3.6,91.2
Austenitic,B (Good),B (Good),S31653,Boiling,2.1,5.7,56.5
Austenitic,A (Resistant),A (Resistant),S31653,20,2.7,9.1,69.6
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,1.5,9.8,42.2
Austenitic,A (Resistant),A (Resistant),S31653,20,1.2,2.3,35
Austenitic,A (Resistant),A (Resistant),S31653,50,2.1,1.9,57.1
Austenitic,A (Resistant),A (Resistant),S31653,90,1.7,6.8,48.3
Austenitic,A (Resistant),A (Resistant),S31635,20,2.5,4.1,66.7
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,0.8,0.2,26.2
Austenitic,A (Resistant),A (Resistant),S31635,20,3.9,3.5,98
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,4,8.1,98.9
Austenitic,A (Resistant),A (Resistant),S31635,20,2.9,8,75.9
Austenitic,B (Good),B (Good),S31635,Boiling,2.4,4.9,62.9
Austenitic,A (Resistant),A (Resistant),S31635,20,1.6,4.7,44.8
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,3.3,5.8,85.1
Austenitic,A (Resistant),A (Resistant),S31635,20,2.9,2.2,74.8
Austenitic,A (Resistant),A (Resistant),S31635,50,1.1,5.3,33
Austenitic,A (Resistant),A (Resistant),S31635,90,3.7,0.1,92.9
Austenitic,0.051 max ,max ,S31703,Boiling,3.4,4.8,85.8
Austenitic,0.001,0.04,S31703,150,3.8,3.4,96
Austenitic,0.005,0.2,S31703,Boiling,3,6.7,78.1
Austenitic,A (Resistant),A (Resistant),S31703,20,2.6,6.4,69.1
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,2,3.8,53.5
Austenitic,A (Resistant),A (Resistant),S31703,20,3.8,0.1,94.6
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,3.5,2.5,89.3
Austenitic,A (Resistant),A (Resistant),S31703,20,0.7,6.3,23.6
Austenitic,B (Good),B (Good),S31703,Boiling,0.6,0.7,22.1
Austenitic,A (Resistant),A (Resistant),S31703,20,1.8,1.1,50.1
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,3.3,6.5,84.8
Austenitic,0.28,11,S31703,150,4,7.6,99
Austenitic,0.002,0.08,S31703,150,1,3.2,32
Austenitic,A (Resistant),A (Resistant),S31703,20,2.6,4.9,67.5
Austenitic,A (Resistant),A (Resistant),S31703,50,1.8,9.5,50.5
Austenitic,A (Resistant),A (Resistant),S31703,90,3.9,9.5,97.6
Austenitic,A (Resistant),A (Resistant),S31725,20,3.4,3.1,87.4
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,3.4,8.1,87.1
Austenitic,A (Resistant),A (Resistant),S31725,20,2.1,5.9,57.5
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,2,9.8,53.2
Austenitic,A (Resistant),A (Resistant),S31725,20,1.5,4.8,41.9
Austenitic,B (Good),B (Good),S31725,Boiling,0.7,7.7,24.5
Austenitic,A (Resistant),A (Resistant),S31725,20,3.5,7.7,89.2
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,3.3,5,85
Austenitic,A (Resistant),A (Resistant),S31725,20,4,8,100
Austenitic,A (Resistant),A (Resistant),S31725,50,4,2.6,99.7
Austenitic,A (Resistant),A (Resistant),S31725,90,2.4,1.2,64.4
Austenitic,0.001,0.04,N08904,150,3.2,4.3,81.5
Austenitic,0.16,6.3,N08904,150,3.8,9.4,95.6
Austenitic,0.002,0.08,N08904,150,3.5,5,88
Austenitic,0.051 max ,2 max ,N08700,Boiling,1.4,6.4,39.8
Austenitic,0.025,1,N08700,Boiling,2.1,6.2,56
Austenitic ,0.05,2,N08020,,1,1.3,30.3
Duplex,A (Resistant),A (Resistant),S32900,20,3.8,3.9,96.3
Duplex,A (Resistant),A (Resistant),S32900,Boiling,2.6,7.1,68.5
Duplex,A (Resistant),A (Resistant),S32900,20,1.3,9.7,38.3
Duplex,A (Resistant),A (Resistant),S32900,Boiling,2.9,1.7,73.7
Duplex,A (Resistant),A (Resistant),S32900,20,2.7,4.1,69.5
Duplex,B (Good),B (Good),S32900,Boiling,1.8,1,48.7
Duplex,A (Resistant),A (Resistant),S32900,20,0.9,2.4,29.1
Duplex,A (Resistant),A (Resistant),S32900,Boiling,2.9,3.8,73.7
Duplex,A (Resistant),A (Resistant),S32900,20,2.3,5.4,61.6
Duplex,A (Resistant),A (Resistant),S32900,50,3.2,2.3,81.8
Duplex,A (Resistant),A (Resistant),S32900,90,2.3,2.3,61.6
Duplex,0.003,0.1,S31803,Boiling,3.5,7.8,88.2
Duplex,0.003,0.1,S31803,,2.4,9.6,64.2
Duplex,A (Resistant),A (Resistant),S31803,20,2.5,3.2,64.9
Duplex,A (Resistant),A (Resistant),S31803,Boiling,3.6,6.9,90.1
Duplex,A (Resistant),A (Resistant),S31803,20,1.9,2.6,52.3
Duplex,A (Resistant),A (Resistant),S31803,Boiling,1,9.3,30.7
Duplex,A (Resistant),A (Resistant),S31803,20,0.6,6.7,22.3
Duplex,B (Good),B (Good),S31803,Boiling,3.1,8,80.4
Duplex,A (Resistant),A (Resistant),S31803,20,2.7,0.5,69.6
Duplex,A (Resistant),A (Resistant),S31803,Boiling,3,6,76.3
Duplex,A (Resistant),A (Resistant),S31803,20,1.2,5.3,37
Duplex,A (Resistant),A (Resistant),S31803,50,1,2.9,30.9
Duplex,A (Resistant),A (Resistant),S31803,90,0.6,2.6,21.2
Duplex,0.01,0.4,S32550,Boiling,1.7,5.8,48
Duplex,0.005,0.2,S32550,,2.6,7.1,67.2
Ferritic,D (Poor),D (Poor),S40500,Boiling,1.9,0.3,51.4
Ferritic,C (Questionable),C (Questionable),S40500,Boiling,2,5.7,55
Ferritic,C (Questionable),C (Questionable),S40500,20,3.7,1.7,92.3
Ferritic,C (Questionable),C (Questionable),S40500,Boiling,1.7,1.4,47.9
Ferritic,C (Questionable),C (Questionable),S40500,20,2.3,6.2,61.1
Ferritic,D (Poor),D (Poor),S40500,Boiling,3.2,3.1,82.7
Ferritic,B (Good),B (Good),S40500,20,1.9,4.4,51.7
Ferritic,D (Poor),D (Poor),S40500,Boiling,2.7,3.6,69.8
Ferritic,A (Resistant),A (Resistant),S40500,20,3.5,6.5,89
Ferritic,C (Questionable),C (Questionable),S40500,Boiling,3.8,4.7,96
Ferritic,B (Good),B (Good),S40500,20,1,9.6,31.8
Ferritic,C (Questionable),C (Questionable),S40500,50,3.7,3.5,94.1
Ferritic,D (Poor),D (Poor),S40500,90,2.2,7.4,59.4
Ferritic,C (Questionable),C (Questionable),S40900,Boiling,1.4,2.6,40.7
Ferritic,C (Questionable),C (Questionable),S40900,20,2.1,5.1,56.7
Ferritic,D (Poor),D (Poor),S40900,Boiling,3.9,5.5,98.4
Ferritic,B (Good),B (Good),S40900,20,2.2,3.3,59.4
Ferritic,D (Poor),D (Poor),S40900,Boiling,1.7,4.7,46.3
Ferritic,A (Resistant),A (Resistant),S40900,20,2.7,2.8,70.7
Ferritic,C (Questionable),C (Questionable),S40900,Boiling,1.3,0.1,39.2
Ferritic,B (Good),B (Good),S40900,20,0.8,2.2,26.1
Ferritic,C (Questionable),C (Questionable),S40900,50,1,7,30.3
Ferritic,D (Poor),D (Poor),S40900,90,0.9,7.7,30.2
Ferritic,B (Good),B (Good),S43000,Boiling,1,2.8,32.2
Ferritic,C (Questionable),C (Questionable),S43000,15,1,4.1,31.1
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,2.7,0.4,71.3
Ferritic,C (Questionable),C (Questionable),S43000,21,1.1,2.4,34.6
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,1.7,7.8,47.7
Ferritic,A (Resistant),A (Resistant),S43000,20,3.6,6.1,91.7
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,2.2,2.1,57.9
Ferritic,B (Good),B (Good),S43000,20,2.8,2.6,73.4
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,1.1,8.2,33.8
Ferritic,A (Resistant),A (Resistant),S43000,20,1.2,2.1,35.4
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,0.6,3.3,23.3
Ferritic,B (Good),B (Good),S43000,20,1.1,6.6,33.5
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,1.5,5.6,42.3
Ferritic,A (Resistant),A (Resistant),S43000,20,1.1,4.6,34.2
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,0.8,9,27.1
Ferritic,A (Resistant),A (Resistant),S43000,20,0.9,2.2,29.7
Ferritic,B (Good),B (Good),S43000,Boiling,2.1,7.4,56.9
Ferritic,A (Resistant),A (Resistant),S43000,21,1.2,1.6,36.5
Ferritic,B (Good),B (Good),S43000,21,1.8,6.2,49.1
Ferritic,A (Resistant),A (Resistant),S43000,20,2.3,8.7,60.3
Ferritic,A (Resistant),A (Resistant),S43000,50,2.9,4.6,75.2
Ferritic,B (Good),B (Good),S43000,90,0.6,7.2,23.1
Ferritic,A (Resistant),A (Resistant),S43400,20,3.3,8.2,84
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,2.7,1.4,70.2
Ferritic,A (Resistant),A (Resistant),S43400,20,0.8,7.1,26.5
Ferritic,B (Good),B (Good),S43400,Boiling,3.6,9.2,89.9
Ferritic,A (Resistant),A (Resistant),S43400,20,3.7,5.8,93.7
Ferritic,C (Questionable),C (Questionable),S43400,Boiling,0.7,1.9,24.9
Ferritic,A (Resistant),A (Resistant),S43400,20,1.5,1.3,42.2
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,3.3,2.6,84.5
Ferritic,A (Resistant),A (Resistant),S43400,20,3.1,1,79.9
Ferritic,A (Resistant),A (Resistant),S43400,50,1.1,5.1,34.8
Ferritic,A (Resistant),A (Resistant),S43400,90,1.2,0.7,36.7
Ferritic,0.09,3.6,S43035,Boiling,1.8,2.2,49.6
Ferritic,0.01,0.2,S44400,Boiling,2.2,4.4,58.8
Ferritic,0.005,0.2,S44400,Boiling,2.7,4.7,69.5
Ferritic,0.005,0.2,S44400,Boiling,1.8,5.7,49.5
Ferritic,0.005,0.2,S18200,Boiling,2.1,7.1,57
Ferritic,0.005,0.2,S18200,Boiling,3.1,0.5,79.8
Ferritic,0,0,S44627,Boiling,0.6,0.8,22.9
Ferritic,0.013,0.5,S44627,Boiling,1.4,0.6,40.2
Ferritic,0.5,20,S44627,Boiling,3,4.2,77.1
Ferritic,0,0,S44700,Boiling,3.6,0.4,91.6
Ferritic,0.01 max ,0.1 max ,S44800,Boiling,2.3,7.5,60.9
Ferritic,0.01 max ,0.1 max ,S44735,Boiling,2.4,2.2,62.6
Ferritic,0.01 max ,0.1 max ,S44627,Boiling,0.9,9.4,28.6
Martensitic,C (Questionable),C (Questionable),S40300,Boiling,2.1,4.9,55.8
Martensitic,C (Questionable),C (Questionable),S40300,20,2.4,4.5,62.6
Martensitic,D (Poor),D (Poor),S40300,Boiling,1.3,7.8,39.4
Martensitic,C (Questionable),C (Questionable),S40300,Boiling,1.4,7.1,41.5
Martensitic,C (Questionable),C (Questionable),S40300,20,1.8,6.1,50.2
Martensitic,D (Poor),D (Poor),S40300,Boiling,0.6,9.4,21.6
Martensitic,B (Good),B (Good),S40300,20,1.6,4.2,45.8
Martensitic,D (Poor),D (Poor),S40300,Boiling,1.2,8.1,36.9
Martensitic,A (Resistant),A (Resistant),S40300,20,1.6,3.8,46.2
Martensitic,C (Questionable),C (Questionable),S40300,Boiling,0.9,8.4,29.6
Martensitic,B (Good),B (Good),S40300,20,3.6,2.6,91.2
Martensitic,C (Questionable),C (Questionable),S40300,50,2.6,2.9,67.5
Martensitic,D (Poor),D (Poor),S40300,90,2.9,6.8,74.3
Martensitic,D (Poor),D (Poor),S41000,Room,3.3,2.1,83.1
Martensitic,A (Resistant),A (Resistant),S41000,Room,2.2,2.3,59.9
Martensitic,D (Poor),D (Poor),S41000,Boiling,0.8,3.1,27
Martensitic,D (Poor),D (Poor),S41000,15,2.4,6.8,63
Martensitic,D (Poor),D (Poor),S41000,Boiling,2.6,8.9,66.9
Martensitic,D (Poor),D (Poor),S41000,21,3.1,6.7,79.6
Martensitic,D (Poor),D (Poor),S41000,Boiling,2,8.3,54.5
Martensitic,A (Resistant),A (Resistant),S41000,Room,0.9,5.4,30.2
Martensitic,C (Questionable),C (Questionable),S41000,Boiling,1.5,0.7,42.7
Martensitic,C (Questionable),C (Questionable),S41000,20,1.8,1,49
Martensitic,D (Poor),D (Poor),S41000,Boiling,2.8,5.5,71.7
Martensitic,B (Good),B (Good),S41000,20,2.5,3.3,65.7
Martensitic,D (Poor),D (Poor),S41000,Boiling,1.7,2.2,48.5
Martensitic,A (Resistant),A (Resistant),S41000,20,4,4.7,98.9
Martensitic,C (Questionable),C (Questionable),S41000,Boiling,2.6,6.7,68.5
Martensitic,B (Good),B (Good),S41000,21,1.3,3.8,39
Martensitic,D (Poor),D (Poor),S41000,21,0.9,8,28.1
Martensitic,B (Good),B (Good),S41000,20,1,7.4,32.2
Martensitic,C (Questionable),C (Questionable),S41000,50,1.4,7.3,39.7
Martensitic,D (Poor),D (Poor),S41000,90,1.1,9.9,32.9
Martensitic,D (Poor),D (Poor),S41000,Room,1.2,3,34.9
Martensitic,D (Poor),D (Poor),S41000,Room,1.5,6.4,42.8
Martensitic,C (Questionable),C (Questionable),S41600,Boiling,1.1,8.6,33.9
Martensitic,C (Questionable),C (Questionable),S41600,20,3.6,5.8,91.7
Martensitic,D (Poor),D (Poor),S41600,Boiling,0.8,7.9,26.4
Martensitic,B (Good),B (Good),S41600,20,2.3,4.1,62
Martensitic,D (Poor),D (Poor),S41600,Boiling,1.9,5.9,52.8
Martensitic,A (Resistant),A (Resistant),S41600,20,3.9,0.6,98.6
Martensitic,C (Questionable),C (Questionable),S41600,Boiling,0.9,9.9,29
Austenitic,B (Good),B (Good),S31600,Boiling,1.9,8,51.8
Martensitic,B (Good),B (Good),S41600,20,3.9,8.7,97.6
Martensitic,C (Questionable),C (Questionable),S41600,50,3.5,6.9,89.2
Martensitic,D (Poor),D (Poor),S41600,90,3.4,1.9,85.4
Martensitic,C (Questionable),C (Questionable),S42000,Boiling,1.4,0.3,40.6
Martensitic,C (Questionable),C (Questionable),S42000,20,1.1,8.6,33.7
Martensitic,D (Poor),D (Poor),S42000,Boiling,2.8,4,73.5
Martensitic,B (Good),B (Good),S42000,20,3.8,2.6,94.4
Martensitic,D (Poor),D (Poor),S42000,Boiling,2.4,5.6,64.5
Martensitic,A (Resistant),A (Resistant),S42000,20,2.5,4.2,65.7
Martensitic,C (Questionable),C (Questionable),S42000,Boiling,1.5,6.5,42.4
Martensitic,B (Good),B (Good),S42000,20,3.2,4.8,81.6
Martensitic,C (Questionable),C (Questionable),S42000,50,1.2,7,35
Martensitic,D (Poor),D (Poor),S42000,90,1.6,8.5,45.9
Precipitation hardening,D (Poor),D (Poor),S36300,Room,2,2,54
99.0% min Al,A (Resistant),A (Resistant),A91199,,2.3,3.3,60.6
Aluminum-manganese,A (Resistant),A (Resistant),,,1.3,4.4,39.4
Aluminum-silicon,A (Resistant),A (Resistant),,,0.9,9.6,29.2
Aluminum bronze,B (Good),B (Good),,,2.6,3.7,68.8
Aluminum bronze,0.5 max ,20 max ,C61300,,1.5,3.8,43.1
Brass,C (Questionable),C (Questionable),,,2.5,6.5,66.5
Brass,D (Poor),D (Poor),C26000,,1,4.2,32.3
Brass,B (Good),B (Good),C22000,,2.2,9.5,58.5
Brass,D (Poor),D (Poor),C28000,,2.4,8.9,62.6
Brass,B (Good),B (Good),C23000,,0.7,5.1,24.1
Copper,B (Good),B (Good),C11000,,1.7,6.4,46.9
Austenitic,A (Resistant),A (Resistant),S31600,20,1,0.6,30.8
Copper,0.06,2.4,C11000,,0.7,7,25.1
Copper,0.9-1.08 ,36.0-43.2 ,C11000,,4,7.1,99.2
Copper,B (Good),B (Good),C12200,,1.6,3.6,45.8
Copper-nickel,B (Good),B (Good),C71500,,3.3,2.2,84.8
Copper-nickel,B (Good),B (Good),C70600,,1.4,9.2,40.4
Leaded brass,D (Poor),D (Poor),C38500,,2.9,4.3,74.5
Leaded brass,D (Poor),D (Poor),C36000,,3.2,6.5,80.8
Nickel-silver,B (Good),B (Good),,,2.6,0.3,67.7
Phosphor bronze,B (Good),B (Good),C51000,,2.2,4.1,57.7
Phosphor bronze,B (Good),B (Good),C52100,,1.9,8.2,52.9
Silicon bronze,0.06,2.4,C65500,,1.7,3.9,47.9
Silicon bronze,0.487-0.731 ,19.2-28.8 ,C65500,,3.8,6,94.4
Silicon bronze,B (Good),B (Good),C65500,,3.4,2.1,86.4
Silicon bronze,B (Good),B (Good),C65100,,3.9,4.2,97.2
Tin brass,C (Questionable),C (Questionable),C44300,,0.9,9.3,29.9
Tin brass,D (Poor),D (Poor),C46400,,3.1,5.7,78.5
Lead and alloys,0.05 max ,2 max ,L50045,24,3.8,9,95.1
Noble metals,0.05 max ,2 max ,P04995,Boiling,1.1,9,34.5
Noble metals,0.05 max ,2 max ,P07010,Boiling,0.7,9.4,25.3
Nickel,0.005,0.2,N02200,154,3.1,9,79.3
Nickel-chromium-iron-molybdenum,0.003,0.1,N08825,134,2.5,0,66
Nickel,0.015,0.6,N02200,140,3.4,9.3,87.3
Titanium and alloys,0.13 max ,5 max ,,20 to boiling (70 to boiling),1,1.4,31.2
Titanium and alloys,0.025,1,,21,3.3,0.4,83.6
Titanium and alloys,0.005,0.02,,150,1.2,0.6,36.1
Titanium and alloys,0.013,0.52,,Boiling,1.1,3.5,33.1
Zirconium and alloys,0.025 max ,1 max ,R60702,Room to Boiling,1.1,6.2,33.1
Zirconium and alloys,0.025 max ,1 max ,R60705,Room to boiling,3.4,4,85.2
Austenitic,A (Resistant),A (Resistant),S30100,20,2.8,0.3,73.2
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,2.3,4.8,61.8
Austenitic,A (Resistant),A (Resistant),S30200,20,1.8,4.4,48.7
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,3.6,7.6,90.2
Austenitic,A (Resistant),A (Resistant),S30300,20,1.9,2.8,51.4
Austenitic,A (Resistant),A (Resistant),S30300,20,3.4,2.2,85.3
Austenitic,B (Good),B (Good),S30300,Boiling,2,2.6,55.1
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,1.8,3,50.2
Austenitic,D (Poor),D (Poor),S30400,Boiling,2.1,6,57
Austenitic,A (Resistant),A (Resistant),S30400,20,1.6,4.7,44.1
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,3.1,3.4,79.8
Austenitic,B (Good),B (Good),S30400,21,2.3,3.7,60.2
Austenitic,0.1,4,S30400,134-138,1.3,3.7,38.6
Austenitic,0.13,5,S30400,130-136,3.6,9.7,92
Austenitic,0.18,7,S30400,128-139,1.8,2.3,50.7
Austenitic,0.3,12,S30400,137,2.4,8.2,63.5
Austenitic,0.23,9,S30400,131,3.7,7.1,92.5
Austenitic,0.01,0.3,S30400,150,2.7,0.1,69.9
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,0.9,9.9,29.4
Austenitic,B (Good),B (Good),S31600,21,3.8,7.6,95.2
